epoch,step,train_loss
0,1,0.16438710689544678
1,3,0.150434672832489
1,5,0.13020792603492737
2,7,0.11705067753791809
3,9,0.11135563254356384
3,11,0.1040458232164383
4,13,0.09064237773418427
5,15,0.055585794150829315
5,17,0.10983105003833771
6,19,0.09210662543773651
7,21,0.034695155918598175
7,23,0.06109614670276642
8,25,0.0455949530005455
9,27,0.042273104190826416
9,29,0.05622382089495659
10,31,0.04275678098201752
11,33,0.03402569517493248
11,35,0.03583798184990883
12,37,0.04022365063428879
13,39,0.03403424471616745
13,41,0.02246418595314026
14,43,0.027576975524425507
15,45,0.02811630442738533
15,47,0.02118479087948799
16,49,0.01995750330388546
17,51,0.02003173530101776
17,53,0.022397659718990326
18,55,0.017419595271348953
19,57,0.01105985976755619
19,59,0.016269396990537643
20,61,0.01055406965315342
21,63,0.012155634351074696
21,65,0.008967598900198936
22,67,0.011179117485880852
23,69,0.009691830724477768
23,71,0.007866289466619492
24,73,0.008604039438068867
25,75,0.009764439426362514
25,77,0.008704030886292458
26,79,0.005428319331258535
27,81,0.008176201954483986
27,83,0.006825980730354786
28,85,0.006860647350549698
29,87,0.012421166524291039
29,89,0.004714183509349823
30,91,0.005896170157939196
31,93,0.003509463742375374
31,95,0.013423778116703033
32,97,0.006333902012556791
33,99,0.00785804819315672
33,101,0.006463819183409214
34,103,0.007111690007150173
35,105,0.007171572186052799
35,107,0.002582392655313015
36,109,0.006633746437728405
37,111,0.0051010469906032085
37,113,0.012328177690505981
38,115,0.0049260444939136505
39,117,0.006571575067937374
39,119,0.007050677202641964
40,121,0.0073839034885168076
41,123,0.008457280695438385
41,125,0.0062040286138653755
42,127,0.004900778643786907
43,129,0.005289439111948013
43,131,0.004257121589034796
44,133,0.008277162909507751
45,135,0.0053985947743058205
45,137,0.0037607287522405386
46,139,0.006798289716243744
47,141,0.003732857061550021
47,143,0.013310398906469345
48,145,0.0060124644078314304
49,147,0.004211384803056717
49,149,0.004134257324039936
50,151,0.004579542204737663
51,153,0.010414401069283485
51,155,0.003545318730175495
52,157,0.007695105858147144
53,159,0.0072858501225709915
53,161,0.006123896222561598
54,163,0.005738697946071625
55,165,0.00903836078941822
55,167,0.0032388002146035433
56,169,0.0051590632647275925
57,171,0.004270948935300112
57,173,0.005795836448669434
58,175,0.005492394790053368
59,177,0.008075655438005924
59,179,0.0030228111427277327
60,181,0.003808196634054184
61,183,0.005701133981347084
61,185,0.0037890146486461163
62,187,0.004691368900239468
63,189,0.007538924925029278
63,191,0.004993949085474014
64,193,0.009087926708161831
65,195,0.003635450266301632
65,197,0.009942978620529175
66,199,0.005372117273509502
67,201,0.007702782284468412
67,203,0.0038619968108832836
68,205,0.0042600915767252445
69,207,0.003255994524806738
69,209,0.01003284566104412
70,211,0.007314345333725214
71,213,0.008337575010955334
71,215,0.0032618106342852116
72,217,0.0027245732489973307
73,219,0.0047423699870705605
73,221,0.004270884674042463
74,223,0.005359200295060873
75,225,0.005423680879175663
75,227,0.0038749822415411472
76,229,0.004686927422881126
77,231,0.003911613952368498
77,233,0.006036682054400444
78,235,0.006475585978478193
79,237,0.005638421047478914
79,239,0.004548925906419754
80,241,0.007438411936163902
81,243,0.0025813179090619087
81,245,0.007433644495904446
82,247,0.0029283412732183933
83,249,0.00670879241079092
